sched,app,period,step_time
dist,leanmd,long,270.488977
dist,leanmd,long,223.690033
dist,leanmd,long,359.987020
dist,leanmd,long,195.377111
dist,leanmd,long,356.591940
dist,leanmd,long,152.117014
dist,leanmd,long,386.718035
dist,leanmd,long,131.706953
dist,leanmd,long,383.032084
dist,leanmd,long,126.812935
dist,leanmd,long,358.672857
dist,leanmd,long,123.389959
dist,leanmd,long,401.002884
dist,leanmd,long,127.552986
dist,leanmd,long,358.329058
dist,leanmd,long,140.445948
dist,leanmd,long,419.868946
dist,leanmd,long,116.882086
dist,leanmd,long,323.594093
dist,leanmd,long,152.120113
dist,leanmd,long,392.752886
dist,leanmd,long,172.801971
dist,leanmd,long,314.701796
dist,leanmd,long,217.209816
dist,leanmd,long,352.283955
dist,leanmd,long,165.714025
dist,leanmd,long,423.609972
dist,leanmd,long,142.851114
dist,leanmd,long,343.704939
dist,leanmd,long,214.691162
dist,leanmd,long,371.978045
dist,leanmd,long,182.667017
dist,leanmd,long,339.211226
dist,leanmd,long,191.698074
dist,leanmd,long,329.926968
dist,leanmd,long,183.490038
dist,leanmd,long,285.403013
dist,leanmd,long,228.677988
dist,leanmd,long,427.745104
dist,leanmd,long,172.379017
dist,leanmd,long,377.763033
dist,leanmd,long,168.595076
dist,leanmd,long,356.256962
dist,leanmd,long,153.414011
dist,leanmd,long,244.956017
dist,leanmd,long,208.036900
dist,leanmd,long,429.949999
dist,leanmd,long,154.246092
dist,leanmd,long,355.504990
dist,leanmd,long,103.456974
dist,leanmd,long,387.926102
dist,leanmd,long,319.863081
dist,leanmd,long,208.930969
dist,leanmd,long,273.947001
dist,leanmd,long,305.204868
dist,leanmd,long,327.147961
dist,leanmd,long,189.496994
dist,leanmd,long,299.113035
dist,leanmd,long,222.005844
dist,leanmd,long,387.305975
dist,leanmd,long,213.889122
dist,leanmd,long,300.302982
dist,leanmd,long,252.305984
dist,leanmd,long,334.518909
dist,leanmd,long,225.297928
dist,leanmd,long,271.775961
dist,leanmd,long,299.112082
dist,leanmd,long,268.543005
dist,leanmd,long,237.344980
dist,leanmd,long,265.946150
dist,leanmd,long,423.691034
dist,leanmd,long,126.029015
dist,leanmd,long,326.107979
dist,leanmd,long,247.173071
dist,leanmd,long,283.909082
dist,leanmd,long,283.808947
dist,leanmd,long,261.826992
dist,leanmd,long,266.085863
dist,leanmd,long,289.007187
dist,leanmd,long,416.349888
dist,leanmd,long,505.089045
dist,leanmd,long,611.388922
dist,leanmd,long,551.455975
dist,leanmd,long,227.428198
dist,leanmd,long,225.893974
dist,leanmd,long,222.980022
dist,leanmd,long,189.490795
dist,leanmd,long,178.723097
dist,leanmd,long,131.376028
dist,leanmd,long,161.445856
dist,leanmd,long,384.024858
dist,leanmd,long,255.308867
dist,leanmd,long,232.534885
dist,leanmd,long,256.587029
dist,leanmd,long,385.148048
dist,leanmd,long,228.143930
dist,leanmd,long,365.067959
dist,leanmd,long,171.144009
dist,leanmd,long,314.703941
dist,leanmd,long,261.657953
dist,leanmd,long,321.841002
dist,leanmd,long,215.674877
dist,leanmd,long,319.276094
dist,leanmd,long,153.775930
dist,leanmd,long,371.345997
dist,leanmd,long,152.526855
dist,leanmd,long,339.803934
dist,leanmd,long,160.552025
dist,leanmd,long,383.550167
dist,leanmd,long,142.898083
dist,leanmd,long,367.043018
dist,leanmd,long,150.370836
dist,leanmd,long,377.045870
dist,leanmd,long,142.977953
dist,leanmd,long,372.667074
dist,leanmd,long,155.452013
dist,leanmd,long,374.325991
dist,leanmd,long,144.236088
dist,leanmd,long,330.183983
dist,leanmd,long,167.685986
dist,leanmd,long,391.911983
dist,leanmd,long,166.061878
dist,leanmd,long,243.974924
dist,leanmd,long,284.951925
dist,leanmd,long,408.555031
dist,leanmd,long,183.213949
dist,leanmd,long,244.623899
dist,leanmd,long,251.063108
dist,leanmd,long,268.769026
dist,leanmd,long,265.705109
dist,leanmd,long,264.255047
dist,leanmd,long,233.608961
dist,leanmd,long,257.231951
dist,leanmd,long,293.560982
dist,leanmd,long,276.679993
dist,leanmd,long,343.264103
dist,leanmd,long,440.593004
dist,leanmd,long,94.024897
dist,leanmd,long,296.418905
dist,leanmd,long,262.308836
dist,leanmd,long,205.590010
dist,leanmd,long,359.725952
dist,leanmd,long,179.872990
dist,leanmd,long,254.583120
dist,leanmd,long,260.540009
dist,leanmd,long,316.527128
dist,leanmd,long,212.167978
dist,leanmd,long,230.047941
dist,leanmd,long,373.060226
dist,leanmd,long,218.096972
dist,leanmd,long,359.867096
dist,leanmd,long,318.542004
dist,leanmd,long,250.441074
dist,leanmd,long,247.444153
dist,leanmd,long,300.974131
dist,leanmd,long,222.695112
dist,leanmd,long,316.861868
dist,leanmd,long,286.684036
dist,leanmd,long,252.964973
dist,leanmd,long,374.129057
dist,leanmd,long,215.049028
dist,leanmd,long,279.041052
dist,leanmd,long,243.914127
dist,leanmd,long,325.020075
dist,leanmd,long,397.406101
dist,leanmd,long,139.302969
dist,leanmd,long,251.687050
dist,leanmd,long,336.513996
dist,leanmd,long,393.394947
dist,leanmd,long,143.618107
dist,leanmd,long,337.498903
dist,leanmd,long,233.473063
dist,leanmd,long,288.337946
dist,leanmd,long,207.494974
dist,leanmd,long,338.167191
dist,leanmd,long,242.677212
dist,leanmd,long,436.345816
dist,leanmd,long,211.771011
dist,leanmd,long,471.671104
dist,leanmd,long,146.574974
dist,leanmd,short,519.615889
dist,leanmd,short,574.259996
dist,leanmd,short,488.034010
dist,leanmd,short,246.970177
dist,leanmd,short,222.101927
dist,leanmd,short,200.986147
dist,leanmd,short,191.788912
dist,leanmd,short,158.529997
dist,leanmd,short,188.199997
dist,leanmd,short,211.486101
dist,leanmd,short,396.550894
dist,leanmd,short,236.125946
dist,leanmd,short,249.403000
dist,leanmd,short,270.597935
dist,leanmd,short,435.369015
dist,leanmd,short,201.146126
dist,leanmd,short,318.583965
dist,leanmd,short,176.761150
dist,leanmd,short,341.145039
