sched,app,step_time
distributed,leanmd,2076.086998
distributed,leanmd,324.568987
distributed,leanmd,1731.014013
distributed,leanmd,249.324083
distributed,leanmd,1476.439953
distributed,leanmd,323.112011
distributed,leanmd,1291.926861
distributed,leanmd,325.380802
distributed,leanmd,2049.821854
distributed,leanmd,328.210115
distributed,leanmd,1629.271030
distributed,leanmd,825.230122
distributed,leanmd,1874.485016
distributed,leanmd,218.256950
distributed,leanmd,1616.362095
distributed,leanmd,637.207985
distributed,leanmd,1450.852871
distributed,leanmd,466.161013
distributed,leanmd,1446.530104
distributed,leanmd,425.337076
distributed,leanmd,1734.981775
distributed,leanmd,433.094025
distributed,leanmd,1648.658991
distributed,leanmd,360.254049
distributed,leanmd,1847.136974
distributed,leanmd,325.119019
distributed,leanmd,1478.473902
distributed,leanmd,393.034935
distributed,leanmd,1692.277908
distributed,leanmd,436.255932
distributed,leanmd,1623.228073
distributed,leanmd,714.676142
distributed,leanmd,1866.163969
distributed,leanmd,253.886938
distributed,leanmd,1946.465015
distributed,leanmd,212.627172
distributed,leanmd,1727.466106
distributed,leanmd,322.439194
distributed,leanmd,1512.635946
distributed,leanmd,216.068029
distributed,leanmd,2233.557940
distributed,leanmd,284.748793
distributed,leanmd,1659.856081
distributed,leanmd,287.235022
distributed,leanmd,1730.559826
distributed,leanmd,187.649012
distributed,leanmd,1982.138872
distributed,leanmd,537.336111
distributed,leanmd,1406.382084
distributed,leanmd,144.025087
distributed,leanmd,1906.493187
distributed,leanmd,323.020220
distributed,leanmd,1906.804085
distributed,leanmd,324.239969
distributed,leanmd,1624.904871
distributed,leanmd,318.325996
distributed,leanmd,1810.746908
distributed,leanmd,120.888948
distributed,leanmd,1569.719076
distributed,leanmd,287.439108
distributed,leanmd,1567.767859
distributed,leanmd,923.557043
distributed,leanmd,1398.054123
distributed,leanmd,470.714092
distributed,leanmd,1403.218031
distributed,leanmd,830.107927
distributed,leanmd,1327.041149
distributed,leanmd,576.946974
distributed,leanmd,1440.999031
distributed,leanmd,742.975950
distributed,leanmd,2684.209824
distributed,leanmd,1383.752108
distributed,leanmd,2088.121176
distributed,leanmd,1260.940075
distributed,leanmd,2050.298214
distributed,leanmd,1515.045881
distributed,leanmd,1608.647823
distributed,leanmd,1627.870083
distributed,leanmd,1585.222006
distributed,leanmd,1440.629005
distributed,leanmd,1689.584017
distributed,leanmd,866.996050
distributed,leanmd,1627.653122
distributed,leanmd,1181.770086
distributed,leanmd,1406.536102
distributed,leanmd,1186.712027
distributed,leanmd,1879.109144
distributed,leanmd,650.892973
distributed,leanmd,1536.141157
distributed,leanmd,1005.033016
distributed,leanmd,1330.087185
distributed,leanmd,832.150221
distributed,leanmd,1575.279951
distributed,leanmd,439.190149
distributed,leanmd,1588.438988
distributed,leanmd,388.535023
distributed,leanmd,1802.484989
distributed,leanmd,180.191994
distributed,leanmd,1592.182875
distributed,leanmd,251.374960
distributed,leanmd,1911.762953
distributed,leanmd,429.305077
distributed,leanmd,1618.460894
distributed,leanmd,323.027849
distributed,leanmd,1731.651783
distributed,leanmd,358.213902
distributed,leanmd,1523.737907
distributed,leanmd,813.473940
distributed,leanmd,1514.300823
distributed,leanmd,360.250950
distributed,leanmd,2101.783991
distributed,leanmd,274.598837
distributed,leanmd,1344.838142
distributed,leanmd,534.934998
distributed,leanmd,1405.722857
distributed,leanmd,790.280104
distributed,leanmd,1187.948942
distributed,leanmd,758.620977
distributed,leanmd,1437.083960
distributed,leanmd,325.607061
distributed,leanmd,1945.522070
distributed,leanmd,320.750952
distributed,leanmd,1493.602991
distributed,leanmd,320.833921
distributed,leanmd,1438.132048
distributed,leanmd,822.627068
distributed,leanmd,1444.562912
distributed,leanmd,259.922981
distributed,leanmd,1423.329115
distributed,leanmd,683.237076
distributed,leanmd,1652.384996
distributed,leanmd,554.960012
distributed,leanmd,1393.327951
distributed,leanmd,481.843948
distributed,leanmd,1517.894030
distributed,leanmd,601.296902
distributed,leanmd,1400.627851
distributed,leanmd,1077.577114
distributed,leanmd,1013.667107
distributed,leanmd,504.192114
distributed,leanmd,1439.475060
distributed,leanmd,932.070971
distributed,leanmd,1621.197939
distributed,leanmd,550.668001
distributed,leanmd,1515.724897
distributed,leanmd,398.650885
distributed,leanmd,1436.377048
distributed,leanmd,838.851929
distributed,leanmd,1289.053917
distributed,leanmd,500.927925
distributed,leanmd,1472.352982
distributed,leanmd,648.554802
distributed,leanmd,1874.794960
distributed,leanmd,321.204185
distributed,leanmd,1438.672066
distributed,leanmd,504.230022
distributed,leanmd,1521.982908
distributed,leanmd,507.362127
distributed,leanmd,1402.096987
distributed,leanmd,468.750000
distributed,leanmd,2010.118961
distributed,leanmd,519.647121
distributed,leanmd,1286.895037
distributed,leanmd,393.832922
distributed,leanmd,1511.463881
distributed,leanmd,866.619825
distributed,leanmd,1079.859018
distributed,leanmd,823.442936
distributed,leanmd,1367.976904
distributed,leanmd,437.159061
distributed,leanmd,2905.649900
distributed,leanmd,1358.850956
distributed,leanmd,1787.302017
distributed,leanmd,1345.297098
distributed,leanmd,1982.869864
distributed,leanmd,1647.644997
distributed,leanmd,1589.004993
distributed,leanmd,1618.193865
distributed,leanmd,1584.598780
distributed,leanmd,1475.187063
distributed,leanmd,1944.632053
distributed,leanmd,1224.779129
distributed,leanmd,1942.431211
distributed,leanmd,1010.504961
distributed,leanmd,2623.659134
distributed,leanmd,1549.838066
distributed,leanmd,2051.563978
distributed,leanmd,1228.754997
distributed,leanmd,2154.680014
distributed,leanmd,1729.830027
distributed,leanmd,1671.811819
distributed,leanmd,701.012850
distributed,leanmd,1502.037048
distributed,leanmd,1131.826878
distributed,leanmd,2106.092930
distributed,leanmd,900.481939
distributed,leanmd,1125.169039
distributed,leanmd,1215.234041
distributed,leanmd,2196.599960
distributed,leanmd,1113.662004
distributed,leanmd,1658.473015
distributed,leanmd,503.755093
distributed,leanmd,1512.645960
distributed,leanmd,658.390999
distributed,leanmd,1546.158791
distributed,leanmd,359.173059
distributed,leanmd,1368.206024
distributed,leanmd,538.933992
distributed,leanmd,1514.193058
distributed,leanmd,397.871017
distributed,leanmd,1384.252787
distributed,leanmd,883.038998
distributed,leanmd,1653.784990
distributed,leanmd,578.513861
distributed,leanmd,1401.105881
distributed,leanmd,256.304979
distributed,leanmd,1557.666779
distributed,leanmd,359.440088
distributed,leanmd,1831.884861
distributed,leanmd,360.666990
distributed,leanmd,1717.972994
distributed,leanmd,589.302063
distributed,leanmd,1723.865986
distributed,leanmd,364.138126
distributed,leanmd,1617.501020
distributed,leanmd,213.861942
distributed,leanmd,1444.612980
distributed,leanmd,715.420008
distributed,leanmd,1403.519154
distributed,leanmd,439.667225
distributed,leanmd,1577.819824
distributed,leanmd,1135.967970
distributed,leanmd,1206.509113
distributed,leanmd,399.065971
distributed,leanmd,1255.782127
distributed,leanmd,717.921019
distributed,leanmd,1154.333830
distributed,leanmd,860.640049
distributed,leanmd,1274.214983
distributed,leanmd,319.979906
distributed,leanmd,1773.513079
distributed,leanmd,782.963037
distributed,leanmd,1510.794163
distributed,leanmd,432.031870
distributed,leanmd,1692.672968
distributed,leanmd,253.056049
distributed,leanmd,1838.967800
distributed,leanmd,122.850895
distributed,leanmd,1611.931086
distributed,leanmd,439.967871
distributed,leanmd,1862.684011
distributed,leanmd,587.064028
distributed,leanmd,1216.958046
distributed,leanmd,345.916986
distributed,leanmd,1667.170048
distributed,leanmd,756.683111
distributed,leanmd,1228.815079
distributed,leanmd,569.047928
distributed,leanmd,1528.037071
distributed,leanmd,599.551916
distributed,leanmd,1902.679920
distributed,leanmd,463.160038
distributed,leanmd,1697.270155
distributed,leanmd,793.141842
distributed,leanmd,1295.647144
distributed,leanmd,758.703947
distributed,leanmd,1017.814159
distributed,leanmd,599.069118
distributed,leanmd,1265.997887
distributed,leanmd,686.514854
greedy,leanmd,495.516777
greedy,leanmd,1369789.968967
greedy,leanmd,2002.799988
greedy,leanmd,1440.054893
greedy,leanmd,1414.180040
greedy,leanmd,1224.560022
greedy,leanmd,1227.509975
greedy,leanmd,1831.325054
greedy,leanmd,1597.831011
greedy,leanmd,1452.630043
greedy,leanmd,6370.831966
greedy,leanmd,1186.559916
greedy,leanmd,1339.583874
greedy,leanmd,1016.865969
greedy,leanmd,1687.393904
greedy,leanmd,868.612051
greedy,leanmd,1278.774023
greedy,leanmd,931.195021
greedy,leanmd,1206.651926
greedy,leanmd,777.206898
greedy,leanmd,5761.062145
greedy,leanmd,849.709034
greedy,leanmd,1730.285168
greedy,leanmd,509.677172
greedy,leanmd,1609.390020
greedy,leanmd,643.625975
greedy,leanmd,1679.437876
greedy,leanmd,1019.779921
greedy,leanmd,1618.654966
greedy,leanmd,359.873056
greedy,leanmd,6841.500998
greedy,leanmd,575.541019
greedy,leanmd,1838.499784
greedy,leanmd,859.472990
greedy,leanmd,1801.475048
greedy,leanmd,478.861094
greedy,leanmd,1825.954914
greedy,leanmd,696.316004
greedy,leanmd,1292.811871
greedy,leanmd,1103.821039
greedy,leanmd,7645.370960
greedy,leanmd,254.722834
greedy,leanmd,1868.700981
greedy,leanmd,469.835043
greedy,leanmd,2266.993999
greedy,leanmd,869.760990
greedy,leanmd,1392.798901
greedy,leanmd,944.823027
greedy,leanmd,1399.291039
greedy,leanmd,501.087189
greedy,leanmd,6912.256956
greedy,leanmd,1028.634787
greedy,leanmd,2478.995085
greedy,leanmd,363.095045
greedy,leanmd,1689.189911
